"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","Type","Phot.","Spec.","Radio","X-ray"
"SN2011fe","2011/08/24","9.48","NGC 5457","14:03:05.711,14:03:05.76,14:03:05.81,14:03:05.80","+54:16:25.22,+54:16:25.32,+54:16:25.4,+54:16:25.39,+54:16:25.3","Ia","2728","143","0","0"
"SN2000cx","2000/07/17","12.9","NGC 524","01:24:46.19,01:24:46.15","+09:30:31.3,+09:30:30.9,+09:30:30.89","Ia Pec","1189","45","",""
"SN1999ee","1999/10/07","14.5","IC 5179","22:16:09.40,22:16:10.00","-36:50:31.5,-36:50:39.7,-36:50:39.70","Ia","1169","26","",""
"SN1998bu","1998/05/09","11.44","NGC 3368","10:46:46.01,10:46:46.03","+11:50:07.5,+11:50:07.12,+11:50:07.15","Ia","1083","75","0",""
"SN2013dy","2013/07/10","12.8","NGC 7250","22:18:17.60","+40:34:09.6,+40:34:09.59","Ia","1022","117","",""
"SN2007af","2007/03/01","13.05","NGC 5584","14:22:21.03,14:22:21.12,14:22:21.06","-00:23:37.6,-00:23:37.68,-00:23:37.60,-00:23:37.72","Ia","976","53","",""
"SN2014J","2014/01/21","9.71","NGC 3034","09:55:42.12,09:55:42.14","+69:40:25.9,+69:40:26.00,+69:40:26.0","Ia","918","123","0",""
"SN2009dc","2009/04/09","14.53","UGC 10064","15:51:12.12,15:51:12.083,15:51:12,15:51:12.24,15:51:12.10","+25:42:28.0,+25:42:28.43,+25:42:28.44,+25:42:28.08,+25:42:28.01,+25:42:28","Ia Pec","798","43","0",""
"SN2004eo","2004/09/17","15.14","NGC 6928","20:32:54.19,20:32:54.24","+09:55:42.7,+09:55:42.71","Ia","776","25","",""
"SN2002bo","2002/03/09","13.1","NGC 3190","10:18:06.51,10:18:06.52","+21:49:41.7,+21:49:41.70,+21:49:41.2","Ia","750","65","0",""
"SN1991T","1991/04/13","11.09","NGC 4527","12:34:10.20,12:34:10.08,12:34:10.17,12:34:10.21","+02:39:56.4,+02:39:56.52,+02:39:56.35,+02:39:56.59,+02:39:56.6,+02:39:56.3","Ia-91T","723","23","0",""
"SN2005ke","2005/11/13","13.92","NGC 1371","03:35:04.35,03:35:04.344,03:35:4.34","-24:56:38.8,-24:56:38.76,-24:56:38.80","Ia Pec","689","30","0",""
"SN2006X","2006/02/04","12.79","NGC 4321","12:22:53.93,12:22:54,12:22:54.00,12:22:53.99,12:22:53.92","+15:48:32.0,+15:48:32.04,+15:48:33.12,+15:48:33.1,+15:48:33.08,+15:48:31.2","Ia","687","85","0",""
"SN2008hv","2008/12/02","14.26","NGC 2765","09:07:34.06,09:07:34.066,09:07:34.08","+03:23:32.1,+03:23:32.18,+03:23:32.64,+03:23:32.10","Ia","633","15","",""
"ASASSN-14lp","2014/12/09","11.93","NGC 4666","12:45:09.10,12:45:09.12","-00:27:32.4,-00:27:32.5,-00:27:32.49","Ia","600","59","",""
"SN2012fr","2012/10/27","11.74","NGC 1365","03:33:35.99,03:33:36.288","-36:07:37.7,-36:07:37.70,-36:07:35.04","Ia","594","144","0",""
